Highway,Side,Between,Prohibited Times and/or Days,parsed_data
Saturn Road,Both,Burnhamthorpe Road and the south end of Saturn Road,Anytime,"{'start_intersection': 'Burnhamthorpe Road', 'end_intersection': 'the south end of Saturn Road', 'rule_type': 'block'}"
Skelton Road,South and east,Burlington Street (south intersection) and Burlington Street (north intersection),Anytime,"{'start_intersection': 'Burlington Street (south intersection)', 'end_intersection': 'Burlington Street (north intersection)', 'rule_type': 'block'}"
Skyway Avenue,Both,Dixon Road and a point 71.5 metres north of Meridian Road (north intersection),Anytime,"{'start_intersection': 'Dixon Road', 'distance': '71.5', 'direction': 'north', 'offset_intersection': 'Meridian Road (north intersection)', 'rule_type': 'intersect_to_offset'}"
Swordbill Drive,West,A point 107 metres north of Newell Court (west intersection) and a point 20 metres north thereof,Anytime,"{'dist1': '107', 'dir1': 'north', 'start_intersection': 'Newell Court (west intersection)', 'dist2': '20', 'rule_type': 'relative_extension'}"
Swordbill Drive,East,A point 97 metres north of Newell Court (east intersection) and a point 16 metres north thereof,Anytime,"{'dist1': '97', 'dir1': 'north', 'start_intersection': 'Newell Court (east intersection)', 'dist2': '16', 'rule_type': 'relative_extension'}"
The Westway,Both,Brampton Road and Royal York Road,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri.","{'start_intersection': 'Brampton Road', 'end_intersection': 'Royal York Road', 'rule_type': 'block'}"
Thistle Down Boulevard,South,Bankfield Drive and a point 36.6 metres east,Anytime,"{'start_intersection': 'Bankfield Drive', 'distance': '36.6', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Thistle Down Boulevard,Both,Albion Road and Thistledown Boulevard,Anytime,"{'start_intersection': 'Albion Road', 'end_intersection': 'Thistledown Boulevard', 'rule_type': 'block'}"
Sedgebrook Crescent,Both,A point 61 metres east of West Deane Park Road and a point 68.5 metres northeast thereof,Anytime,"{'distance': '61', 'direction': 'east', 'start_intersection': 'West Deane Park Road', 'end_intersection': 'a point 68.5 metres northeast thereof', 'rule_type': 'offset_to_intersect'}"
Sedgeley Drive,North,Martin Grove Road and Callowhill Drive,Anytime,"{'start_intersection': 'Martin Grove Road', 'end_intersection': 'Callowhill Drive', 'rule_type': 'block'}"
Sedgeley Drive,South,Midden Crescent and Callowhill Drive,Anytime,"{'start_intersection': 'Midden Crescent', 'end_intersection': 'Callowhill Drive', 'rule_type': 'block'}"
Skyway Avenue,Both,A point 71.5 metres north of Meridian Road (north intersection) and a point 71.5 metres south of Meridian Road (north intersection),7:00 a.m. to 7:00 p.m.,"{'start_intersection': 'A point 71.5 metres north of Meridian Road (north intersection)', 'distance': '71.5', 'direction': 'south', 'offset_intersection': 'Meridian Road (north intersection)', 'rule_type': 'intersect_to_offset'}"
Skyway Avenue,Both,A point 71.5 metres south of Meridian Road (north intersection) and Galaxy Boulevard,Anytime,"{'distance': '71.5', 'direction': 'south', 'start_intersection': 'Meridian Road (north intersection)', 'end_intersection': 'Galaxy Boulevard', 'rule_type': 'offset_to_intersect'}"
Smith Crescent,Both,The Queensway and Cochrane Drive,Anytime,"{'start_intersection': 'The Queensway', 'end_intersection': 'Cochrane Drive', 'rule_type': 'block'}"
Swordbill Drive,South,A point 91.5 metres north of Newell Court (east intersection) and a point 107 metres north of the west intersection of Newell Court (west intersection),Anytime,"{'start_intersection': 'A point 91.5 metres north of Newell Court (east intersection)', 'distance': '107', 'direction': 'north', 'offset_intersection': 'the west intersection of Newell Court (west intersection)', 'rule_type': 'intersect_to_offset'}"
Swordbill Drive,East,A point 91 metres north of Newell Court (east intersection) and a point 16 metres north thereof,Anytime,"{'dist1': '91', 'dir1': 'north', 'start_intersection': 'Newell Court (east intersection)', 'dist2': '16', 'rule_type': 'relative_extension'}"
Thistle Down Boulevard,"South, east and north",Bondhead Place and Kintail Road (inner circle),"5:00 to 7:00, Mon. to Fri.","{'start_intersection': 'Bondhead Place', 'end_intersection': 'Kintail Road (inner circle)', 'rule_type': 'block'}"
Thorncrest Road,Both,Islington Avenue and Rathburn Road,Anytime,"{'start_intersection': 'Islington Avenue', 'end_intersection': 'Rathburn Road', 'rule_type': 'block'}"
Shady Glen Road,Both,Briarwood Avenue and Glen Hollow Road,8:00 a.m. to 5:00 p.m.,"{'start_intersection': 'Briarwood Avenue', 'end_intersection': 'Glen Hollow Road', 'rule_type': 'block'}"
Shaft Road,East,Ronson Drive and Belfield Road,Anytime,"{'start_intersection': 'Ronson Drive', 'end_intersection': 'Belfield Road', 'rule_type': 'block'}"
Shaver Avenue South,East,Dundas Street and Ovida Avenue,Anytime,"{'start_intersection': 'Dundas Street', 'end_intersection': 'Ovida Avenue', 'rule_type': 'block'}"
Smithfield Drive,Both,A point 45.5 metres north of The Queensway and Ringley Avenue,Anytime,"{'distance': '45.5', 'direction': 'north', 'start_intersection': 'The Queensway', 'end_intersection': 'Ringley Avenue', 'rule_type': 'offset_to_intersect'}"
Smithfield Drive,Both,Ringley Avenue and Winiska Avenue,"6:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Ringley Avenue', 'end_intersection': 'Winiska Avenue', 'rule_type': 'block'}"
Springbrook Gardens,Both,Islington Avenue and the east end of Springbrook Gardens,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Islington Avenue', 'end_intersection': 'the east end of Springbrook Gardens', 'rule_type': 'block'}"
Symons Street,North,Dwight Avenue and Lake Shore Boulevard West,Anytime,"{'start_intersection': 'Dwight Avenue', 'end_intersection': 'Lake Shore Boulevard West', 'rule_type': 'block'}"
Taber Road,Both,Racine Road and Kipling Avenue,Anytime,"{'start_intersection': 'Racine Road', 'end_intersection': 'Kipling Avenue', 'rule_type': 'block'}"
Tallon Road,South,Selmar Road and Trehorne Drive,Anytime,"{'start_intersection': 'Selmar Road', 'end_intersection': 'Trehorne Drive', 'rule_type': 'block'}"
Tidemore Avenue,Both,Rexdale Boulevard and the south end of Tidemore Avenue,Anytime,"{'start_intersection': 'Rexdale Boulevard', 'end_intersection': 'the south end of Tidemore Avenue', 'rule_type': 'block'}"
Toledo Road,North,A point 43 metres west of Renforth Drive and a point 160 metres west thereof,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'dist1': '43', 'dir1': 'west', 'start_intersection': 'Renforth Drive', 'dist2': '160', 'rule_type': 'relative_extension'}"
Torbolton Drive,South and east,Islington Avenue and Leduc Drive,Anytime,"{'start_intersection': 'Islington Avenue', 'end_intersection': 'Leduc Drive', 'rule_type': 'block'}"
Shaver Avenue South,West,Dundas Street and Kebral Avenue,Anytime,"{'start_intersection': 'Dundas Street', 'end_intersection': 'Kebral Avenue', 'rule_type': 'block'}"
Shaver Avenue North,West,Bloor Street West and Burnhamthorpe Road,Anytime,"{'start_intersection': 'Bloor Street West', 'end_intersection': 'Burnhamthorpe Road', 'rule_type': 'block'}"
Shaver Avenue North,East,Burnhamthorpe Road and Swan Avenue,Anytime,"{'start_intersection': 'Burnhamthorpe Road', 'end_intersection': 'Swan Avenue', 'rule_type': 'block'}"
Springwood Drive,Both,Westhampton Drive and the north end of Springwood Drive,Anytime,"{'start_intersection': 'Westhampton Drive', 'end_intersection': 'the north end of Springwood Drive', 'rule_type': 'block'}"
Staffordshire Place,North,The west end of Staffordshire Place and the east end of Staffordshire Place,Anytime,"{'start_intersection': 'The west end of Staffordshire Place', 'end_intersection': 'the east end of Staffordshire Place', 'rule_type': 'block'}"
Stanley Avenue (ET),North,Royal York Road and Burlington Street,Anytime,"{'start_intersection': 'Royal York Road', 'end_intersection': 'Burlington Street', 'rule_type': 'block'}"
Tandridge Crescent,"East and south, West and north",The north limit of Arcot Boulevard and a point 180 metres east of Byng Avenue (inner circle),Anytime,"{'start_intersection': 'The north limit of Arcot Boulevard', 'distance': '180', 'direction': 'east', 'offset_intersection': 'Byng Avenue (inner circle)', 'rule_type': 'intersect_to_offset'}"
Tandridge Crescent,North,Byng Avenue and a point 43 metres east of Byng Avenue,Anytime,"{'start_intersection': 'Byng Avenue', 'distance': '43', 'direction': 'east', 'offset_intersection': 'Byng Avenue', 'rule_type': 'intersect_to_offset'}"
Tromley Drive,West,Winterton Drive and a point 209 metres south,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Winterton Drive', 'distance': '209', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Trueman Avenue,East,The Queensway and Warnica Avenue,Anytime,"{'start_intersection': 'The Queensway', 'end_intersection': 'Warnica Avenue', 'rule_type': 'block'}"
Tyre Avenue,Both,Kipling Avenue and Renown Road,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Kipling Avenue', 'end_intersection': 'Renown Road', 'rule_type': 'block'}"
Shawbridge Avenue,Both,Bering Avenue and Advance Road,Anytime,"{'start_intersection': 'Bering Avenue', 'end_intersection': 'Advance Road', 'rule_type': 'block'}"
Shawbridge Avenue,East,Bering Avenue and Munster Avenue,Anytime,"{'start_intersection': 'Bering Avenue', 'end_intersection': 'Munster Avenue', 'rule_type': 'block'}"
Shawbridge Avenue,West,Bering Avenue and a point 30.5 metres north,Anytime,"{'start_intersection': 'Bering Avenue', 'distance': '30.5', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Stanley Avenue (ET),South,Queens Avenue and Superior Avenue,Anytime,"{'start_intersection': 'Queens Avenue', 'end_intersection': 'Superior Avenue', 'rule_type': 'block'}"
Tandridge Crescent,North,A point 43 metres east of Byng Avenue and a point 137 metres east thereof,5:00 p.m. to 8:00 a.m.,"{'dist1': '43', 'dir1': 'east', 'start_intersection': 'Byng Avenue', 'dist2': '137', 'rule_type': 'relative_extension'}"
Varley Lane,North,Royal York Road and Grenview Boulevard,"10:00 a.m. to 6:00 p.m., Mon. to Sat.","{'start_intersection': 'Royal York Road', 'end_intersection': 'Grenview Boulevard', 'rule_type': 'block'}"
Varley Lane,South,Royal York Road and Grenview Boulevard North,Anytime,"{'start_intersection': 'Royal York Road', 'end_intersection': 'Grenview Boulevard North', 'rule_type': 'block'}"
Victor Avenue (ET),East,Stanley Avenue and Cavell Avenue,Anytime,"{'start_intersection': 'Stanley Avenue', 'end_intersection': 'Cavell Avenue', 'rule_type': 'block'}"
Sheldon Avenue,Both,Rimilton Avenue and a point 40.1 metres north of Rimilton Avenue,Anytime,"{'start_intersection': 'Rimilton Avenue', 'distance': '40.1', 'direction': 'north', 'offset_intersection': 'Rimilton Avenue', 'rule_type': 'intersect_to_offset'}"
Stanley Avenue (ET),South,Burlington Street and Albert Avenue,Anytime,"{'start_intersection': 'Burlington Street', 'end_intersection': 'Albert Avenue', 'rule_type': 'block'}"
Stanmills Road,Both,Islington Avenue and Warnica Avenue,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Islington Avenue', 'end_intersection': 'Warnica Avenue', 'rule_type': 'block'}"
Station Road,East,Cavell Avenue and Mimico Avenue,Anytime,"{'start_intersection': 'Cavell Avenue', 'end_intersection': 'Mimico Avenue', 'rule_type': 'block'}"
Towns Road,Both,Kipling Avenue and the west end of Towns Road,Anytime,"{'start_intersection': 'Kipling Avenue', 'end_intersection': 'the west end of Towns Road', 'rule_type': 'block'}"
Treeview Drive,Both,Valermo Drive and Rimilton Avenue,Anytime,"{'start_intersection': 'Valermo Drive', 'end_intersection': 'Rimilton Avenue', 'rule_type': 'block'}"
Sheldon Avenue,East,Lanor Avenue and a point 116 metres north,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Lanor Avenue', 'distance': '116', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Shorncliffe Road,Both,Dundas Street and North Queen Street,Anytime,"{'start_intersection': 'Dundas Street', 'end_intersection': 'North Queen Street', 'rule_type': 'block'}"
Signal Hill Avenue,West,Steeles Avenue West and Steinway Boulevard,Anytime,"{'start_intersection': 'Steeles Avenue West', 'end_intersection': 'Steinway Boulevard', 'rule_type': 'block'}"
Steeles Avenue West (north intersection),Both,Kipling Avenue and Albion Road/Highway 50,Anytime,"{'start_intersection': 'Kipling Avenue', 'end_intersection': 'Albion Road/Highway 50', 'rule_type': 'block'}"
Steinway Boulevard,Both,Albion Road and Steeles Avenue West,Anytime,"{'start_intersection': 'Albion Road', 'end_intersection': 'Steeles Avenue West', 'rule_type': 'block'}"
Stephen Drive,West,Berry Road and Riverwood Parkway,Anytime,"{'start_intersection': 'Berry Road', 'end_intersection': 'Riverwood Parkway', 'rule_type': 'block'}"
Tayrow Road,Both,Elmhurst Drive and Fordwich Crescent,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Elmhurst Drive', 'end_intersection': 'Fordwich Crescent', 'rule_type': 'block'}"
Taysham Crescent,Both,Monterrey Drive and a point 283.5 metres east,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Monterrey Drive', 'distance': '283.5', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Templar Drive,East,Holywell Drive and The Westway,Anytime,"{'start_intersection': 'Holywell Drive', 'end_intersection': 'The Westway', 'rule_type': 'block'}"
Valermo Drive,Both,A point 42.5 metres east of Thirtieth Street and Bellman Avenue,8:00 a.m. to 5:00 p.m.,"{'distance': '42.5', 'direction': 'east', 'start_intersection': 'Thirtieth Street', 'end_intersection': 'Bellman Avenue', 'rule_type': 'offset_to_intersect'}"
Valhalla Inn Road,Both,The East Mall and Highway 427 off ramp,Anytime,"{'start_intersection': 'The East Mall', 'end_intersection': 'Highway 427 off ramp', 'rule_type': 'block'}"
Van Dusen Boulevard,Both,Islington Avenue and a point 43 metres west of Allerton Road,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Islington Avenue', 'distance': '43', 'direction': 'west', 'offset_intersection': 'Allerton Road', 'rule_type': 'intersect_to_offset'}"
Silverhill Drive,Both,A point 56.5 metres west of Billingham Road and a point 120 metres west and north thereof,Anytime,"{'distance': '56.5', 'direction': 'west', 'start_intersection': 'Billingham Road', 'end_intersection': 'a point 120 metres west and north thereof', 'rule_type': 'offset_to_intersect'}"
Silverhill Drive (easterly section),Both,Lynnford Drive and a point 138.5 metres south,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Lynnford Drive', 'distance': '138.5', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Silverhill Drive (westerly section),Both,Lynnford Drive and a point 138.5 metres south,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Lynnford Drive', 'distance': '138.5', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Stevenson Road,Both,Kipling Avenue and Garfella Drive,Anytime,"{'start_intersection': 'Kipling Avenue', 'end_intersection': 'Garfella Drive', 'rule_type': 'block'}"
Stevenson Road,North,Kipling Avenue and a point 86 metres west of Silverstone Drive,Anytime,"{'start_intersection': 'Kipling Avenue', 'distance': '86', 'direction': 'west', 'offset_intersection': 'Silverstone Drive', 'rule_type': 'intersect_to_offset'}"
Stevenson Road,North,Bulbourne Road and Garfella Drive,Anytime,"{'start_intersection': 'Bulbourne Road', 'end_intersection': 'Garfella Drive', 'rule_type': 'block'}"
The East Mall,West,A point 35.4 metres south of North Queen Street and Burnhamthorpe Road,Anytime,"{'distance': '35.4', 'direction': 'south', 'start_intersection': 'North Queen Street', 'end_intersection': 'Burnhamthorpe Road', 'rule_type': 'offset_to_intersect'}"
The East Mall,West,Four Seasons Place and Eglinton Avenue West,Anytime,"{'start_intersection': 'Four Seasons Place', 'end_intersection': 'Eglinton Avenue West', 'rule_type': 'block'}"
The East Mall,West,Evans Avenue and a point 306 metres north of The Queensway,Anytime,"{'start_intersection': 'Evans Avenue', 'distance': '306', 'direction': 'north', 'offset_intersection': 'The Queensway', 'rule_type': 'intersect_to_offset'}"
Victoria Street (ET),North,Burlington Street and the east end of Victoria Street,Anytime,"{'start_intersection': 'Burlington Street', 'end_intersection': 'the east end of Victoria Street', 'rule_type': 'block'}"
Viking Lane,Both,Kipling Avenue and Joping Avenue South.,7:00 a.m. to 6:00 p.m.,"{'start_intersection': 'Kipling Avenue', 'end_intersection': 'Joping Avenue South.', 'rule_type': 'block'}"
Villa Road,North,Fortieth Street and the west end of Villa Road,Anytime,"{'start_intersection': 'Fortieth Street', 'end_intersection': 'the west end of Villa Road', 'rule_type': 'block'}"
Silverstone Drive,Both,Mount Olive Drive and Elmcliffe Court,Anytime,"{'start_intersection': 'Mount Olive Drive', 'end_intersection': 'Elmcliffe Court', 'rule_type': 'block'}"
Stock Avenue,East,Laneway first north of The Queensway and Warnica Avenue,Anytime,"{'start_intersection': 'Laneway first north of The Queensway', 'end_intersection': 'Warnica Avenue', 'rule_type': 'block'}"
Stoffel Drive,South,Kelfield Street and the east end of Stoffel Drive,Anytime,"{'start_intersection': 'Kelfield Street', 'end_intersection': 'the east end of Stoffel Drive', 'rule_type': 'block'}"
Stoneham Road,West and south,Mill Road and Old Burnhamthorpe Road,Anytime,"{'start_intersection': 'Mill Road', 'end_intersection': 'Old Burnhamthorpe Road', 'rule_type': 'block'}"
The East Mall,West,A point 35.4 metres south of North Queen Street and a point 155 metres south thereof,"4:00 p.m. to 9:00 a.m., Mon. to Fri.","{'dist1': '35.4', 'dir1': 'south', 'start_intersection': 'North Queen Street', 'dist2': '155', 'rule_type': 'relative_extension'}"
The East Mall,East,Evans Avenue and a point 301 metres north of The Queensway,Anytime,"{'start_intersection': 'Evans Avenue', 'distance': '301', 'direction': 'north', 'offset_intersection': 'The Queensway', 'rule_type': 'intersect_to_offset'}"
The East Mall,East,A point 338.5 metres north of The Queensway and Eglinton Avenue West,Anytime,"{'distance': '338.5', 'direction': 'north', 'start_intersection': 'The Queensway', 'end_intersection': 'Eglinton Avenue West', 'rule_type': 'offset_to_intersect'}"
Tremayne Avenue,North,Royal York Road and Jackson Avenue,"8:00 a.m. to 10:00 a.m., Mon. to Fri.","{'start_intersection': 'Royal York Road', 'end_intersection': 'Jackson Avenue', 'rule_type': 'block'}"
Tremayne Avenue,South,Royal York Road and Jackson Avenue,Anytime,"{'start_intersection': 'Royal York Road', 'end_intersection': 'Jackson Avenue', 'rule_type': 'block'}"
Trillium Terrace,South and east,Stonegate Road and the west end of Trillium Terrace,Anytime,"{'start_intersection': 'Stonegate Road', 'end_intersection': 'the west end of Trillium Terrace', 'rule_type': 'block'}"
Silverstone Drive,Both,Albion Road and Lexington Avenue,Anytime,"{'start_intersection': 'Albion Road', 'end_intersection': 'Lexington Avenue', 'rule_type': 'block'}"
Silverstone Drive,Both,Albion Road and Finch Avenue West,Anytime,"{'start_intersection': 'Albion Road', 'end_intersection': 'Finch Avenue West', 'rule_type': 'block'}"
Strath Avenue,North,Queen Marys Drive and Kingsway Crescent,Anytime,"{'start_intersection': 'Queen Marys Drive', 'end_intersection': 'Kingsway Crescent', 'rule_type': 'block'}"
Struthers Street,South,Dwight Avenue and Royal York Road,Anytime,"{'start_intersection': 'Dwight Avenue', 'end_intersection': 'Royal York Road', 'rule_type': 'block'}"
The Kingsway,East,Bloor Street and Kingsway Crescent,Anytime,"{'start_intersection': 'Bloor Street', 'end_intersection': 'Kingsway Crescent', 'rule_type': 'block'}"
Van Dusen Boulevard,Both,Islington Avenue and Mimico Creek,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Islington Avenue', 'end_intersection': 'Mimico Creek', 'rule_type': 'block'}"
Van Dusen Boulevard,Both,Royal York Road and Cliveden Avenue,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Royal York Road', 'end_intersection': 'Cliveden Avenue', 'rule_type': 'block'}"
The Kingsway,West,Bloor Street and King Georges Road,Anytime,"{'start_intersection': 'Bloor Street', 'end_intersection': 'King Georges Road', 'rule_type': 'block'}"
Tyre Avenue,Both,Kipling Avenue and Royalavon Crescent,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Kipling Avenue', 'end_intersection': 'Royalavon Crescent', 'rule_type': 'block'}"
Ulverston Road,South,Crendon Drive and a point 201 metres east,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Crendon Drive', 'distance': '201', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Uno Drive,Both,The Queensway and a point 122 metres north,Anytime,"{'start_intersection': 'The Queensway', 'distance': '122', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Silverstone Drive,East,A point 53 metres north of Furness Crescent and a point 139 metres north thereof,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'dist1': '53', 'dir1': 'north', 'start_intersection': 'Furness Crescent', 'dist2': '139', 'rule_type': 'relative_extension'}"
Sultan Pool Drive,Both,Betteridge Lane and the north end of Sultan Pool Drive,Anytime,"{'start_intersection': 'Betteridge Lane', 'end_intersection': 'the north end of Sultan Pool Drive', 'rule_type': 'block'}"
Summitcrest Drive,Both,Waterford Drive and Landron Crescent,Anytime,"{'start_intersection': 'Waterford Drive', 'end_intersection': 'Landron Crescent', 'rule_type': 'block'}"
Summitcrest Drive,North,Royal York Road and Norgrove Crescent (west intersection),Anytime,"{'start_intersection': 'Royal York Road', 'end_intersection': 'Norgrove Crescent (west intersection)', 'rule_type': 'block'}"
The Kingsway,Both,Islington Avenue and Hartfield Road,Anytime,"{'start_intersection': 'Islington Avenue', 'end_intersection': 'Hartfield Road', 'rule_type': 'block'}"
The Kingsway,West,Hartfield Road and a point 67 metres south,Anytime,"{'start_intersection': 'Hartfield Road', 'distance': '67', 'direction': 'south', 'rule_type': 'perfect_offset'}"
The Kingsway,West,A point 133 metres south of Hartfield Road and a point 187.7 metres north of Anglesey Boulevard,Anytime,"{'start_intersection': 'A point 133 metres south of Hartfield Road', 'distance': '187.7', 'direction': 'north', 'offset_intersection': 'Anglesey Boulevard', 'rule_type': 'intersect_to_offset'}"
Tromley Drive,South,Lloyd Manor Road and a point 76 metres west,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Lloyd Manor Road', 'distance': '76', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Tromley Drive,South,Lloyd Manor Road and a point 76 metres west,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Lloyd Manor Road', 'distance': '76', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Tromley Drive,South,A point 76 metres west of Lloyd Manor Road and a point 65 metres west thereof,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'dist1': '76', 'dir1': 'west', 'start_intersection': 'Lloyd Manor Road', 'dist2': '65', 'rule_type': 'relative_extension'}"
Silverthorne Bush Drive,North,Markland Drive (west intersection) and Fieldstone Drive,Anytime,"{'start_intersection': 'Markland Drive (west intersection)', 'end_intersection': 'Fieldstone Drive', 'rule_type': 'block'}"
Summitcrest Drive,South,Royal York Road and Norgrove Crescent (west intersection),"8:00 a.m. to 8:00 p.m., Mon. to Fri.","{'start_intersection': 'Royal York Road', 'end_intersection': 'Norgrove Crescent (west intersection)', 'rule_type': 'block'}"
Sun Row Drive,East,Norby Crescent and a point 122 metres north,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Norby Crescent', 'distance': '122', 'direction': 'north', 'rule_type': 'perfect_offset'}"
The Kingsway,South,Prince Edward Drive and Kingsmore Boulevard,Anytime,"{'start_intersection': 'Prince Edward Drive', 'end_intersection': 'Kingsmore Boulevard', 'rule_type': 'block'}"
The Kingsway,Both,Kingsgrove Boulevard and Royal York Road,Anytime,"{'start_intersection': 'Kingsgrove Boulevard', 'end_intersection': 'Royal York Road', 'rule_type': 'block'}"
Lane first north of The Queensway,North,Stock Avenue and a point 43 metres east,Anytime,"{'start_intersection': 'Stock Avenue', 'distance': '43', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Van Dusen Boulevard,Both,Royal York Road and Cliveden Avenue,Anytime,"{'start_intersection': 'Royal York Road', 'end_intersection': 'Cliveden Avenue', 'rule_type': 'block'}"
Vanevery Street,North,Dwight Avenue and Royal York Road,Anytime,"{'start_intersection': 'Dwight Avenue', 'end_intersection': 'Royal York Road', 'rule_type': 'block'}"
Vansco Road,Both,The Queensway and North Queen Street,Anytime,"{'start_intersection': 'The Queensway', 'end_intersection': 'North Queen Street', 'rule_type': 'block'}"
Simpson Avenue (ET),Both,Ourland Avenue and a point 155.5 metres east,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Ourland Avenue', 'distance': '155.5', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Sun Row Drive,East,A point 55 metres north of Norby Crescent and a point 52 metres north thereof,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'dist1': '55', 'dir1': 'north', 'start_intersection': 'Norby Crescent', 'dist2': '52', 'rule_type': 'relative_extension'}"
Sunnylea Avenue West,North,Prince Edward Drive South and Grenview Boulevard South,Anytime,"{'start_intersection': 'Prince Edward Drive South', 'end_intersection': 'Grenview Boulevard South', 'rule_type': 'block'}"
Sunvale Drive,Both,Kipling Avenue and Brampton Road,Anytime,"{'start_intersection': 'Kipling Avenue', 'end_intersection': 'Brampton Road', 'rule_type': 'block'}"
The Queensway,Both,Highway 27 and the west limit of the road,Anytime,"{'start_intersection': 'Highway 27', 'end_intersection': 'the west limit of the road', 'rule_type': 'block'}"
Lane first north of The Queensway,Both,Stephen Drive and a point 44 metres west,Anytime,"{'start_intersection': 'Stephen Drive', 'distance': '44', 'direction': 'west', 'rule_type': 'perfect_offset'}"
The West Mall,East,Evans Avenue and a point 199.5 metres south of Holiday Drive,Anytime,"{'start_intersection': 'Evans Avenue', 'distance': '199.5', 'direction': 'south', 'offset_intersection': 'Holiday Drive', 'rule_type': 'intersect_to_offset'}"
Upland Road,Both,White Oak Boulevard and Wilgar Road,Anytime,"{'start_intersection': 'White Oak Boulevard', 'end_intersection': 'Wilgar Road', 'rule_type': 'block'}"
Usher Avenue,Both,The Kingsway and Royal York Road,Anytime,"{'start_intersection': 'The Kingsway', 'end_intersection': 'Royal York Road', 'rule_type': 'block'}"
Valermo Drive,North,Bellman Avenue and Rimilton Avenue,Anytime,"{'start_intersection': 'Bellman Avenue', 'end_intersection': 'Rimilton Avenue', 'rule_type': 'block'}"
Six Point Road,North,Islington Avenue and Kipling Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m.","{'start_intersection': 'Islington Avenue', 'end_intersection': 'Kipling Avenue', 'rule_type': 'block'}"
Six Point Road,South,Islington Avenue and Kipling Avenue,Anytime,"{'start_intersection': 'Islington Avenue', 'end_intersection': 'Kipling Avenue', 'rule_type': 'block'}"
Superior Avenue,South,Stanley Avenue and a point 55 metres east,Anytime,"{'start_intersection': 'Stanley Avenue', 'distance': '55', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Superior Avenue,North,A point 73 metres east of Lake Shore Boulevard West and Mimico Waterfront Park Trail,Anytime,"{'distance': '73', 'direction': 'east', 'start_intersection': 'Lake Shore Boulevard West', 'end_intersection': 'Mimico Waterfront Park Trail', 'rule_type': 'offset_to_intersect'}"
Superior Avenue,South,A point 77.5 metres east of Lake Shore Boulevard West and Mimico Waterfront Park Trail,Anytime,"{'distance': '77.5', 'direction': 'east', 'start_intersection': 'Lake Shore Boulevard West', 'end_intersection': 'Mimico Waterfront Park Trail', 'rule_type': 'offset_to_intersect'}"
The West Mall,East,A point 152.5 metres south of Holiday Drive and a point 47 metres south thereof,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri.","{'dist1': '152.5', 'dir1': 'south', 'start_intersection': 'Holiday Drive', 'dist2': '47', 'rule_type': 'relative_extension'}"
Sandwell Drive,West,The Westway and Hobden Place (south intersection),Anytime,"{'start_intersection': 'The Westway', 'end_intersection': 'Hobden Place (south intersection)', 'rule_type': 'block'}"
